"Ceiling Number","Room","Type Name","Net
Area","Direction","Azimuth","Tilt","Pitch","Touching",
"1","Up Bathroom","R-19 under attic","42","Top","Top","0","N/A","Outside",
"2","Up Laundry / Hallway","R-19 under attic","125","Top","Top","0","N/A","Outside",
"3","Up Laundry / Hallway","R-19 under attic","30","Top","Top","0","N/A","Outside",
"4","Up Front Bedroom","R-19 under attic","162","Top","Top","0","N/A","Outside",
"5","Gameroom","R-19 under attic","168.75","Top","Top","0","N/A","Outside",
"6","Gameroom","R-19 under attic","38.5","Top","Top","0","N/A","Outside",
"7","Upstairs closets","R-19 under attic","20","Top","Top","0","N/A","Outside",
"8","Second Master","R-19 under attic","175","Top","Top","0","N/A","Outside",
"9","Master","R-19 under attic","271.25","Top","Top","0","N/A","Outside",
"10","Master Closet","R-19 under attic","31.5","Top","Top","0","N/A","Outside",
"11","Up Back Bedroom","R-19 under attic","75","Top","Top","0","N/A","Outside",
"12","Up Back Bedroom","R-19 under attic","108.75","Top","Top","0","N/A","Outside",
