"Floor Number","Room","Type Name","Net
Area","Perimeter","Tilt","Touching","Touching Conditioned Neighbor",
"1","Basement Center(2)","Slab Below Grade","408","92","180","Outside","Not Touching Conditioned",
"2","Basement Center(1)","Slab Below Grade","425","93","180","Outside","Not Touching Conditioned",
"3","Basement West(1)","Slab Below Grade","134.75","60","180","Outside","Not Touching Conditioned",
"4","Basement East(1)","Slab Below Grade","96.25","46","180","Outside","Not Touching Conditioned",
"5","Living(2)","Wood Floor","55","0","180","Unconditioned Space","Not Touching Conditioned",
"6","Living(2)","Wood Floor","120","0","180","Unconditioned Space","Not Touching Conditioned",
"7","Living(2)","Wood Floor","96.25","0","180","Cond Basement","Not Touching Conditioned",
"8","Living(1)","Wood Floor","15","0","180","Unconditioned Space","Not Touching Conditioned",
"9","Front Bedroom(1)","Wood Floor","155.25","0","180","Unconditioned Space","Not Touching Conditioned",
"10","Front Stairs(2)","Wood Floor","35","0","180","Unconditioned Space","Not Touching Conditioned",
"11","Front Stairs(1)","Wood Floor","20","0","180","Unconditioned Space","Not Touching Conditioned",
"12","Dining(1)","Wood Floor","6.75","0","180","Unconditioned Space","Not Touching Conditioned",
"13","Dining(1)","Wood Floor","168.75","0","180","Unconditioned Space","Not Touching Conditioned",
"14","Bathroom(1)","Wood Floor","42","0","180","Unconditioned Space","Not Touching Conditioned",
"15","Kitchen(1)","Wood Floor","125","0","180","Unconditioned Space","Not Touching Conditioned",
"16","Kitchen(2)","Wood Floor","30","0","180","Unconditioned Space","Not Touching Conditioned",
"17","Back stairs(1)","Wood Floor","6.25","0","180","Unconditioned Space","Not Touching Conditioned",
"18","Back stairs(1)","Wood Floor","68.75","0","180","Cond Basement","Not Touching Conditioned",
"19","Mainfloor Closets(1)","Wood Floor","9","0","180","Unconditioned Space","Not Touching Conditioned",
"20","Mainfloor Closets(1)","Wood Floor","11","0","180","Cond Basement","Not Touching Conditioned",
"21","Back Bedroom(1)","Slab on grade","75","0","180","Outside","Not Touching Conditioned",
"22","Back Bedroom(1)","Wood Floor","45","0","180","Unconditioned Space","Not Touching Conditioned",
"23","Back Bedroom(1)","Wood Floor","55","0","180","Cond Basement","Not Touching Conditioned",
"24","Laundry(1)","Slab on grade","75","0","180","Outside","Not Touching Conditioned",
"25","Up Back Bedroom(1)","Wood Floor Open Space","33.75","0","180","Outside","Not Touching Conditioned",
